domain_name	pfam_id	source
CRM1_C	PF08767	both
CRS1_YhbY	PF01985	both
CSD	PF00313	both
CSD2	PF17876	rbpworld_only
CWC25	PF12542	both
CYTH	PF01928	rbpworld_only
Calreticulin	PF00262	both
Caprin-1_C	PF12287	both
CarD_CdnL_TRCF	PF02559	rbpworld_only
Cgr1	PF03879	both
Chibby	PF14645	rbpworld_only
Clp1	PF06807	both
CooT	PF10133	eurbpdb_only
Creb_binding	PF09030	rbpworld_only
CwfJ_C_1	PF04677	both
CwfJ_C_2	PF04676	both
Cwf_Cwc_15	PF04889	both
DALR_1	PF05746	both
DALR_2	PF09190	both
DAP3	PF10236	both
DBP10CT	PF08147	both
DBR1	PF05011	both
DCP1	PF06058	both
DCP2	PF05026	both
DEAD	PF00270	both
DEAD_assoc	PF08494	eurbpdb_only
DHHA1	PF02272	both
DKCLD	PF08068	both
DNA_RNApol_7kD	PF03604	both
DNA_pol_A_exo1	PF01612	both
DND1_DSRM	PF14709	both
DRIM	PF07539	both
DRY_EERY	PF09750	both
DUF1325	PF07039	both
DUF1387	PF07139	both
DUF1604	PF07713	both
DUF1866	PF08952	both
DUF1897	PF09005	both
DUF1917	PF08939	both
DUF2040	PF09745	eurbpdb_only
DUF2075	PF09848	rbpworld_only
DUF2465	PF10239	both
DUF2650	PF10853	both
DUF382	PF04037	both
DUF446	PF04287	eurbpdb_only
DZF	PF07528	both
DbpA	PF03880	eurbpdb_only
DcpS	PF05652	both
DcpS_C	PF11969	both
Dicer_dimer	PF03368	both
Dus	PF01207	both
EAF	PF09816	rbpworld_only
ECR1_N	PF14382	both
EF1G	PF00647	both
EF1_GNE	PF00736	both
EFG_IV	PF03764	both
EF_TS	PF00889	both
EIAV_Rev	PF11129	eurbpdb_only
EIF4E-T	PF10477	both
EIF_2_alpha	PF07541	both
EMG1	PF03587	both
EST1	PF10374	both
EST1_DNA_bind	PF10373	both
EVE	PF01878	rbpworld_only
EXOSC1	PF10447	both
Ebola_NP	PF05505	eurbpdb_only
Ebp2	PF05890	both
Efg1	PF10153	rbpworld_only
EndoU_bacteria	PF14436	eurbpdb_only
Endonuclea_NS_2	PF13930	both
Endonuclease_5	PF04493	both
Endonuclease_NS	PF01223	both
Es2	PF09751	both
Exo_endo_phos	PF03372	both
Exportin-5	PF19273	rbpworld_only
FAM83	PF07894	both
FAST_1	PF06743	rbpworld_only
FAST_2	PF08368	rbpworld_only
FDF	PF09532	both
FDX-ACB	PF03147	both
FF	PF01846	rbpworld_only
FRG1	PF06229	both
FTO_CTD	PF12934	both
FTO_NTD	PF12933	both
FXMRP1_C_core	PF12235	both
FXR_C1	PF16096	rbpworld_only
FYTT	PF07078	both
Fcf1	PF04900	both
Fcf2	PF08698	both
Fibrillarin	PF01269	both
Fibrillarin_2	PF10113	eurbpdb_only
Fip1	PF05182	both
FlbT	PF07378	eurbpdb_only
FmrO	PF07091	eurbpdb_only
Fox-1_C	PF12414	both
FtsJ	PF01728	both
G-patch	PF01585	both
GAD	PF02938	both
GCD14	PF08704	both
GEMIN8	PF15348	both
GIDA_C	PF13932	rbpworld_only
GIDA_assoc	PF13932	eurbpdb_only
GIIM	PF08388	both
GLE1	PF07817	both
GN3L_Grn1	PF08701	both
GTP_EFTU	PF00009	both
GTP_EFTU_D2	PF03144	both
GTP_EFTU_D3	PF03143	both
GUCT	PF08152	both
GYF_2	PF14237	rbpworld_only
Gar1	PF04410	both
GatB_Yqey	PF02637	both
Gcd10p	PF04189	both
Gemin6	PF06372	both
Gemin6_C	PF20417	rbpworld_only
Gemin7	PF11095	both
GidB	PF02527	both
Glu-tRNAGln	PF02686	both
HA	PF03457	both
HA2	PF04408	both
HABP4_PAI-RBP1	PF04774	both
HARE-HTH	PF05066	both
HAT	PF02184	both
HEXIM	PF15313	both
HGTP_anticodon	PF03129	both
HGTP_anticodon2	PF12745	both
HRDC	PF00570	both
HVSL	PF09749	both
Helicase_Sgs1	PF11408	both
HnRNPA1	PF11627	both
HnRNP_M	PF11532	eurbpdb_only
HnRNP_M_NLS	PF11532	rbpworld_only
IBN_N	PF03810	both
IF-2	PF11987	both
IF-2B	PF01008	both
IF2_N	PF04760	both
IF4E	PF01652	both
IHABP4_N	PF16174	rbpworld_only
INTS2	PF14750	both
INTS5_C	PF14838	both
INTS5_N	PF14837	both
INT_SG_DDX_CT_C	PF15300	both
IPPT	PF01715	both
IRF-3	PF10401	rbpworld_only
Img2	PF05046	both
Iml2-TPR_39	PF10300	rbpworld_only
Init_tRNA_PT	PF04179	both
Ints3	PF10189	eurbpdb_only
Ints3_N	PF10189	rbpworld_only
Isy1	PF06246	both
KH_1	PF00013	both
KH_2	PF07650	both
KH_4	PF13083	both
KH_5	PF13184	both
KH_6	PF15985	rbpworld_only
KH_8	PF17903	rbpworld_only
KH_9	PF17904	rbpworld_only
KN17_SH3	PF18131	rbpworld_only
KOW	PF00467	both
Kin17_mid	PF10357	both
L31	PF09784	both
L51_S25_CI-B8	PF05047	both
LRRFIP	PF09738	both
LSM	PF01423	both
LSM14	PF12701	both
LUC7	PF03194	both
La	PF05383	both
Lactamase_B	PF00753	both
Lactamase_B_4	PF13691	both
Las1	PF04031	both
Leo1	PF04004	rbpworld_only
Leu_Phe_trans	PF03588	eurbpdb_only
LigT_PEase	PF02834	both
LsmAD	PF06741	both
Lsm_interact	PF05391	both
MA3	PF02847	both
MARF1_LOTUS	PF19687	rbpworld_only
MBD	PF01429	both
MFAP1	PF06991	rbpworld_only
MIF4G	PF02854	both
MIF4G_like	PF09088	both
MIF4G_like_2	PF09090	both
MKT1_C	PF12246	both
MKT1_N	PF12247	both
MMR_HSR1	PF01926	both
MOEP19	PF16005	rbpworld_only
MP	PF01107	rbpworld_only
MPP6	PF10175	both
MRP	PF09387	both
MRP-63	PF14978	both
MRP-L27	PF09809	both
MRP-L28	PF09812	both
MRP-L46	PF11788	both
MRP-L47	PF06984	both
MRP-L51	PF10244	both
MRP-S22	PF10245	both
MRP-S23	PF10484	both
MRP-S24	PF14955	both
MRP-S26	PF14943	both
MRP-S27	PF10037	both
MRP-S28	PF10213	both
MRP-S31	PF15433	both
MRP-S32	PF10210	both
MRP-S33	PF08293	both
MRP-S35	PF10246	both
MRP_L53	PF10780	both
MT-A70	PF05063	both
MTS	PF05175	both
Maelstrom	PF13017	both
Mago-bind	PF09282	both
Mago_nashi	PF02792	both
Med11	PF10280	rbpworld_only
Med20	PF08612	rbpworld_only
MetRS-N	PF09635	both
Met_10	PF02475	both
Methyltr_RsmB-F	PF01189	both
Methyltranf_PUA	PF13636	eurbpdb_only
Methyltrans_RNA	PF04452	both
Methyltransf_15	PF09445	both
Methyltransf_31	PF13847	both
Methyltransf_8	PF05148	both
Methyltrn_RNA_3	PF02598	both
Mitoc_L55	PF09776	both
Mor	PF08765	rbpworld_only
Mpp10	PF04006	both
Mtr2	PF10429	both
MutS_II	PF05188	rbpworld_only
Myb_Cef	PF11831	both
N-Term_TEN	PF11474	eurbpdb_only
NCBP3	PF10309	both
NFACT-R_1	PF05670	rbpworld_only
NMD3	PF04981	both
NOB1_Zn_bind	PF08772	both
NOC3p	PF07540	both
NOG1	PF06858	both
NOGCT	PF08155	both
NOP5NT	PF08156	both
NOT2_3_5	PF04153	both
NRDE-2	PF08424	both
NRP1_C	PF20427	rbpworld_only
NSP10	PF09401	eurbpdb_only
NSP16	PF06460	eurbpdb_only
NSRP1_N	PF09745	rbpworld_only
NST1	PF13945	rbpworld_only
NTF2	PF02136	both
NTP_transf_7	PF07984	both
NUC129	PF08157	both
NUC153	PF08159	both
NUC173	PF08161	both
NUC205	PF08168	both
NUDIX_2	PF13869	both
NUFIP1	PF10453	both
NUFIP2	PF15293	both
NYN	PF01936	rbpworld_only
Nab2	PF11517	both
Nab2p_Zf1	PF18260	rbpworld_only
Nab6_mRNP_bdg	PF10567	both
Noc2	PF03715	both
Nop	PF01798	both
Nop10p	PF04135	both
Nop14	PF04147	both
Nop16	PF09420	both
Nop25	PF09805	both
Nop52	PF05997	both
Nop53	PF07767	both
Not1	PF04054	both
Not3	PF04065	both
Npa1	PF11707	both
Nrap	PF03813	both
Nsp1	PF11501	eurbpdb_only
Nucleoplasmin	PF03066	both
Nup35_RRM	PF05172	both
Nup35_RRM_2	PF14605	both
OAS1_C	PF10421	both
OB_Dis3	PF17849	rbpworld_only
OB_NTP_bind	PF07717	rbpworld_only
OB_RNB	PF08206	both
OCRE	PF17780	rbpworld_only
OSK	PF17182	rbpworld_only
OST-HTH	PF12872	rbpworld_only
P68HR	PF08061	both
PABP	PF00658	both
PAM2	PF07145	both
PAP_RNA-bind	PF04926	both
PAP_assoc	PF03828	both
PARP	PF00644	both
PAT1	PF09770	both
PAZ	PF02170	both
PAZ_siRNAbind	PF12212	eurbpdb_only
PC4	PF02229	both
PCIF1_WW	PF12237	rbpworld_only
PDCD9	PF07147	both
PHAT	PF09246	both
PHAX_RNA-bd	PF10258	rbpworld_only
PHF5	PF03660	both
PHM7_cyt	PF14703	rbpworld_only
PIH1	PF08190	both
PIN	PF01850	eurbpdb_only
PIN_2	PF10130	eurbpdb_only
PIN_3	PF13470	both
PIN_4	PF13638	both
PMC2NT	PF08066	both
PNPase	PF03726	both
PNPase_C	PF12111	eurbpdb_only
POP1	PF06978	both
POPLD	PF08170	both
PORR	PF11955	both
PP2	PF14299	rbpworld_only
PPR	PF01535	both
PPR_3	PF13812	rbpworld_only
PPR_long	PF17177	rbpworld_only
PP_M1	PF03012	eurbpdb_only
PRO8NT	PF08082	both
PROCN	PF08083	both
PROCT	PF08084	both
PRORP	PF16953	rbpworld_only
PRP1_N	PF06424	both
PRP21_like_P	PF12230	both
PRP3	PF08572	both
PRP38	PF03371	both
PRP4	PF08799	both
PRP8_domainIV	PF12134	both
PSRP-3_Ycf65	PF04839	rbpworld_only
PTH2	PF01981	both
PTS_2-RNA	PF01885	both
PUA	PF01472	both
PUA_4	PF20260	rbpworld_only
PUF	PF00806	both
PWI	PF01480	both
Paf67	PF10255	both
ParD_antitoxin	PF03693	rbpworld_only
Pept_tRNA_hydro	PF01195	both
Pescadillo_N	PF06732	both
Pet127	PF08634	both
PheRS_DBD1	PF18552	rbpworld_only
PheRS_DBD3	PF18553	rbpworld_only
Phe_tRNA-synt_N	PF02912	both
Piwi	PF02171	both
PolyA_pol	PF01743	both
PolyG_pol	PF01518	eurbpdb_only
Pox_ATPase-GT	PF10640	eurbpdb_only
Pox_MCEL	PF03291	both
Pox_Rap94	PF03294	eurbpdb_only
Pox_mRNA-cap	PF03341	eurbpdb_only
Pox_polyA_pol	PF03296	eurbpdb_only
ProRS-C_1	PF09180	both
ProRS-C_2	PF09181	eurbpdb_only
ProSAAS	PF07259	both
Prp18	PF02840	both
Prp19	PF08606	both
Prp31_C	PF09785	both
PseudoU_synth_1	PF01416	both
PseudoU_synth_2	PF00849	both
PurA	PF04845	both
Qua1	PF16274	rbpworld_only
Queuosine_synth	PF02547	both
R3H	PF01424	both
RAI1	PF08652	both
RAM	PF15320	both
RAP	PF08373	both
RBM1CTR	PF08081	both
RBM39linker	PF15519	rbpworld_only
RBR	PF17208	rbpworld_only
RF-1	PF00472	both
RIG-I_C	PF18119	rbpworld_only
RIG-I_C-RD	PF11648	both
RIO1	PF01163	both
RIX1	PF08167	both
RLI	PF04068	rbpworld_only
RMF	PF04957	eurbpdb_only
RMMBL	PF07521	both
RNA12	PF10443	both
RNA_GG_bind	PF10258	eurbpdb_only
RNA_Me_trans	PF04252	both
RNA_POL_M_15KD	PF02150	both
RNA_bind	PF08675	both
RNA_helicase	PF00910	both
RNA_lig_T4_1	PF09511	both
RNA_ligase	PF09414	both
RNA_pol	PF00940	both
RNA_polI_A14	PF08203	both
RNA_polI_A34	PF08208	both
RNA_pol_3_Rpc31	PF11705	both
RNA_pol_A_CTD	PF03118	both
RNA_pol_A_bac	PF01000	both
RNA_pol_I_A49	PF06870	both
RNA_pol_I_TF	PF04090	both
RNA_pol_L	PF01193	both
RNA_pol_L_2	PF13656	both
RNA_pol_N	PF01194	both
RNA_pol_Rbc25	PF08292	both
RNA_pol_Rpa2_4	PF06883	both
RNA_pol_Rpb1_1	PF04997	both
RNA_pol_Rpb1_2	PF00623	both
RNA_pol_Rpb1_3	PF04983	both
RNA_pol_Rpb1_4	PF05000	both
RNA_pol_Rpb1_5	PF04998	both
RNA_pol_Rpb1_6	PF04992	both
RNA_pol_Rpb1_7	PF04990	both
RNA_pol_Rpb1_R	PF05001	both
RNA_pol_Rpb2_1	PF04563	both
RNA_pol_Rpb2_2	PF04561	both
RNA_pol_Rpb2_3	PF04565	both
RNA_pol_Rpb2_4	PF04566	both
RNA_pol_Rpb2_45	PF10385	both
RNA_pol_Rpb2_5	PF04567	both
RNA_pol_Rpb2_6	PF00562	both
RNA_pol_Rpb2_7	PF04560	both
RNA_pol_Rpb4	PF03874	both
RNA_pol_Rpb5_C	PF01191	both
RNA_pol_Rpb5_N	PF03871	both
RNA_pol_Rpb6	PF01192	both
RNA_pol_Rpb8	PF03870	both
RNA_pol_Rpc34	PF05158	both
RNA_pol_Rpc4	PF05132	both
RNA_pol_Rpc82	PF05645	both
RNA_pol_Rpo13	PF12136	eurbpdb_only
RNA_replicase_B	PF03431	eurbpdb_only
RNB	PF00773	both
RNaseH_C	PF09293	eurbpdb_only
RNase_E_G	PF10150	both
RNase_H	PF00075	both
RNase_H2-Ydr279	PF09468	both
RNase_H2_suC	PF08615	both
RNase_HII	PF01351	both
RNase_P-MRP_p29	PF01868	rbpworld_only
RNase_PH	PF01138	both
RNase_PH_C	PF03725	both
RNase_P_Rpp14	PF01900	both
RNase_P_p30	PF01876	both
RNase_P_pop3	PF08228	both
RNase_T	PF00929	both
RNase_Zc3h12a	PF11977	both
ROKNT	PF08067	both
RPM2	PF08579	both
RPOL_N	PF14700	rbpworld_only
RRF	PF01765	both
RRM	PF10378	both
RRM_1	PF00076	both
RRM_2	PF04059	both
RRM_3	PF08777	both
RRM_4	PF10598	both
RRM_5	PF13893	both
RRM_8	PF11835	rbpworld_only
RRM_Rrp7	PF17799	rbpworld_only
RRM_occluded	PF16842	rbpworld_only
RRP36	PF06102	both
RRP7	PF12923	both
RRS1	PF04939	both
RS4NT	PF08071	both
RSB_motif	PF16294	rbpworld_only
RSD-2	PF07547	both
RSS_P20	PF11757	eurbpdb_only
RTC	PF01137	both
RTC_insert	PF05189	both
RVT_1	PF00078	both
RVT_2	PF07727	both
RdRP	PF05183	both
RdRP_1	PF00680	both
RdRP_2	PF00978	both
RdRP_3	PF00998	eurbpdb_only
RdRP_4	PF02123	eurbpdb_only
RdRP_5	PF07925	eurbpdb_only
RdgC	PF04381	eurbpdb_only
Rep_1	PF01446	rbpworld_only
ResIII	PF04851	both
Rho_N	PF07498	both
Rho_RNA_bind	PF07497	eurbpdb_only
Ribonuc_2-5A	PF06479	both
Ribonuc_L-PSP	PF01042	both
Ribonuc_P_40	PF08584	both
Ribonucleas_3_3	PF14622	both
Ribonuclease	PF00545	both
Ribonuclease_3	PF00636	both
Ribonuclease_P	PF00825	both
Ribonuclease_T2	PF00445	both
Ribosom_S12_S23	PF00164	both
Ribosomal_60s	PF00428	both
Ribosomal_L1	PF00687	both
Ribosomal_L10	PF00466	both
Ribosomal_L11	PF00298	both
Ribosomal_L11_N	PF03946	both
Ribosomal_L12	PF00542	both
Ribosomal_L13	PF00572	both
Ribosomal_L13e	PF01294	both
Ribosomal_L14	PF00238	both
Ribosomal_L14e	PF01929	both
Ribosomal_L15e	PF00827	both
Ribosomal_L16	PF00252	both
Ribosomal_L17	PF01196	both
Ribosomal_L18A	PF01775	both
Ribosomal_L18p	PF00861	both
Ribosomal_L19	PF01245	both
Ribosomal_L19e	PF01280	both
Ribosomal_L2	PF00181	both
Ribosomal_L20	PF00453	both
Ribosomal_L21e	PF01157	both
Ribosomal_L21p	PF00829	both
Ribosomal_L22	PF00237	both
Ribosomal_L22e	PF01776	both
Ribosomal_L23	PF00276	both
Ribosomal_L23eN	PF03939	both
Ribosomal_L24e	PF01246	both
Ribosomal_L25p	PF01386	both
Ribosomal_L27	PF01016	both
Ribosomal_L27A	PF00828	both
Ribosomal_L27e	PF01777	both
Ribosomal_L28	PF00830	both
Ribosomal_L28e	PF01778	both
Ribosomal_L29	PF00831	both
Ribosomal_L29e	PF01779	both
Ribosomal_L2_C	PF03947	both
Ribosomal_L3	PF00297	both
Ribosomal_L30	PF00327	both
Ribosomal_L30_N	PF08079	both
Ribosomal_L31	PF01197	both
Ribosomal_L31e	PF01198	both
Ribosomal_L32e	PF01655	both
Ribosomal_L32p	PF01783	both
Ribosomal_L33	PF00471	both
Ribosomal_L34	PF00468	both
Ribosomal_L34e	PF01199	both
Ribosomal_L35Ae	PF01247	both
Ribosomal_L35p	PF01632	both
Ribosomal_L36	PF00444	both
Ribosomal_L36e	PF01158	both
Ribosomal_L37	PF08561	both
Ribosomal_L37ae	PF01780	both
Ribosomal_L37e	PF01907	both
Ribosomal_L38e	PF01781	both
Ribosomal_L39	PF00832	both
Ribosomal_L4	PF00573	both
Ribosomal_L40e	PF01020	both
Ribosomal_L41	PF05162	both
Ribosomal_L44	PF00935	both
Ribosomal_L5	PF00281	both
Ribosomal_L50	PF10501	both
Ribosomal_L5_C	PF00673	both
Ribosomal_L5e	PF17144	rbpworld_only
Ribosomal_L6	PF00347	both
Ribosomal_L6e	PF01159	both
Ribosomal_L6e_N	PF03868	both
Ribosomal_L7Ae	PF01248	both
Ribosomal_L9_C	PF03948	both
Ribosomal_L9_N	PF01281	both
Ribosomal_S10	PF00338	both
Ribosomal_S11	PF00411	both
Ribosomal_S13	PF00416	both
Ribosomal_S13_N	PF08069	both
Ribosomal_S14	PF00253	both
Ribosomal_S15	PF00312	both
Ribosomal_S16	PF00886	both
Ribosomal_S17	PF00366	both
Ribosomal_S17e	PF00833	both
Ribosomal_S18	PF01084	both
Ribosomal_S19	PF00203	both
Ribosomal_S19e	PF01090	both
Ribosomal_S2	PF00318	both
Ribosomal_S20p	PF01649	both
Ribosomal_S21	PF01165	both
Ribosomal_S21e	PF01249	both
Ribosomal_S22	PF08136	eurbpdb_only
Ribosomal_S24e	PF01282	both
Ribosomal_S25	PF03297	both
Ribosomal_S26e	PF01283	both
Ribosomal_S27	PF01599	both
Ribosomal_S27e	PF01667	both
Ribosomal_S28e	PF01200	both
Ribosomal_S30	PF04758	both
Ribosomal_S30AE	PF02482	both
Ribosomal_S3Ae	PF01015	both
Ribosomal_S3_C	PF00189	both
Ribosomal_S4	PF00163	both
Ribosomal_S4Pg	PF11993	eurbpdb_only
Ribosomal_S4e	PF00900	both
Ribosomal_S5	PF00333	both
Ribosomal_S5_C	PF03719	both
Ribosomal_S6	PF01250	both
Ribosomal_S6e	PF01092	both
Ribosomal_S7	PF00177	both
Ribosomal_S7e	PF01251	both
Ribosomal_S8	PF00410	both
Ribosomal_S8e	PF01201	both
Ribosomal_S9	PF00380	both
Rif1_N	PF12231	both
RimK	PF08443	both
RimM	PF01782	both
RnaseA	PF00074	both
Rpp20	PF12328	both
Rpr2	PF04032	both
RraA-like	PF03737	rbpworld_only
RrnaAD	PF00398	both
Rrp15p	PF07890	both
Rsm1	PF08600	both
Rsm22	PF09243	both
RtcB	PF01139	both
S1	PF00575	both
S1-P1_nuclease	PF02265	both
S1-like	PF14444	both
S10_plectin	PF03501	both
S36_mt	PF10937	both
S4	PF01479	both
SAM_Exu	PF18609	rbpworld_only
SAP	PF02037	both
SAP18	PF06487	both
SART-1	PF03343	both
SBDS	PF01172	both
SBDS_C	PF09377	eurbpdb_only
SBDS_domain_II	PF09377	rbpworld_only
SCNM1_acidic	PF15805	rbpworld_only
SEN1_N	PF12726	both
SERRATE_Ars2_N	PF12066	rbpworld_only
SF3a60_Prp9_C	PF11931	rbpworld_only
SF3a60_bindingd	PF12108	both
SF3b1	PF08920	both
SF3b10	PF07189	both
SH3_12	PF18129	rbpworld_only
SHE3	PF17078	rbpworld_only
SHQ1	PF04925	both
SHS2_Rpb7-N	PF03876	both
SID-1_RNA_chan	PF13965	both
SIP1	PF04938	both
SLBP_RNA_bind	PF15247	both
SM-ATX	PF14438	both
SMN	PF06003	both
SNAPC1	PF09808	rbpworld_only
SNAPC2	PF11035	rbpworld_only
SNase	PF00565	both
SOBP	PF15279	rbpworld_only
SPOUT_MTase	PF02590	both
SPRY	PF00622	rbpworld_only
SR-25	PF10500	both
SRA1	PF07304	both
SRP14	PF02290	both
SRP19	PF01922	both
SRP40_C	PF05022	both
SRP54	PF00448	both
SRP54_N	PF02881	both
SRP68	PF16969	rbpworld_only
SRP72	PF08492	both
SRP9-21	PF05486	both
SRRM_C	PF15230	both
STAR_dimer	PF16544	rbpworld_only
SUI1	PF01253	both
SURF6	PF04935	both
SUV3_C	PF12513	both
SUZ	PF12752	rbpworld_only
SUZ-C	PF12901	rbpworld_only
SYF2	PF08231	both
SYMPK_PTA1_N	PF11935	rbpworld_only
Sas10_Utp3	PF04000	both
Se-cys_synth_N	PF12390	eurbpdb_only
SelA	PF03841	eurbpdb_only
SelB-wing_1	PF09105	eurbpdb_only
SelB-wing_2	PF09106	eurbpdb_only
SelB-wing_3	PF09107	eurbpdb_only
Sen15	PF09631	both
Seryl_tRNA_N	PF02403	both
She2p	PF11435	both
Sigma70_r3	PF04539	rbpworld_only
Slu7	PF11708	both
Smg4_UPF3	PF03467	both
SnAPC_2_like	PF11035	eurbpdb_only
Snurportin1	PF11538	both
Sof1	PF04158	both
SpoU_methylas_C	PF12105	eurbpdb_only
SpoU_methylase	PF00588	both
SpoU_sub_bind	PF08032	both
Spt4	PF06093	both
Spt5-NGN	PF03439	rbpworld_only
Spt5_N	PF11942	rbpworld_only
Ssu72	PF04722	both
Staufen_C	PF16482	rbpworld_only
Stb3	PF10330	both
Stc1	PF12898	rbpworld_only
Sua5_C	PF03481	rbpworld_only
Sua5_yciO_yrdC	PF01300	both
Suf	PF05843	both
Suppressor_P21	PF11479	eurbpdb_only
Surp	PF01805	both
Swm2	PF17083	rbpworld_only
Symplekin_C	PF12295	both
TAF1_subA	PF14929	rbpworld_only
TAP_C	PF03943	both
TDP43_N	PF18694	rbpworld_only
TFIIE_beta	PF02186	rbpworld_only
TF_Zn_Ribbon	PF08271	rbpworld_only
TGT	PF01702	both
THOC7	PF05615	both
THP2	PF09432	both
THRAP3_BCLAF1	PF15440	both
THUMP	PF02926	both
TMF_DNA_bd	PF12329	rbpworld_only
TMF_TATA_bd	PF12325	rbpworld_only
TNRC6-PABC_bdg	PF16608	rbpworld_only
TPP1	PF10341	both
TRM	PF02005	both
TRM13	PF05206	both
TROVE	PF05731	both
TSNR_N	PF04705	eurbpdb_only
TTC3_DZIP3_dom	PF19179	rbpworld_only
TUDOR	PF00567	both
TYW3	PF02676	both
Tab2-like_C	PF20429	rbpworld_only
Tab2-like_N	PF06485	rbpworld_only
Tap-RNA_bind	PF09162	both
Tau95	PF09734	rbpworld_only
Tau95_N	PF17682	rbpworld_only
Telomerase_RBD	PF12009	both
TerD	PF02342	rbpworld_only
Thg1	PF04446	both
Tho1_MOS11_C	PF18592	rbpworld_only
Tho2	PF11262	both
Thoc2	PF11732	both
TilS	PF09179	eurbpdb_only
TilS_C	PF11734	eurbpdb_only
Tnp_22_dsRBD	PF17490	rbpworld_only
Transformer	PF06495	both
Translin	PF01997	both
Transposase_22	PF02994	both
Trm112p	PF03966	both
Trm56	PF01994	eurbpdb_only
Tropomyosin	PF00261	rbpworld_only
TruB-C_2	PF09157	both
TruB_C	PF09142	eurbpdb_only
TruB_N	PF01509	both
TruD	PF01142	both
Tudor-knot	PF11717	both
U1snRNP70_N	PF12220	both
U3_assoc_6	PF08640	both
U3_snoRNA_assoc	PF08297	both
U3snoRNP10	PF12397	both
U5_2-snRNA_bdg	PF10597	both
U6-snRNA_bdg	PF10596	both
UPF0020	PF01170	both
UPF0086	PF01868	eurbpdb_only
UPF0113	PF03657	both
UPF0113_N	PF17833	rbpworld_only
UPF1_1B_dom	PF18141	rbpworld_only
UPF1_Zn_bind	PF09416	both
UTP15_C	PF09384	both
Upf2	PF04050	both
Urb2	PF10441	both
Urm1	PF09138	both
Utp11	PF03998	both
Utp12	PF04003	both
Utp13	PF08625	both
Utp14	PF04615	both
Utp21	PF04192	both
Utp8	PF10395	both
UvrD-helicase	PF00580	both
VAR1	PF05316	both
Val_tRNA-synt_C	PF10458	both
Vault	PF01505	both
Virul_fac_BrkB	PF03631	both
Vmethyltransf	PF01660	both
Vmethyltransf_C	PF08456	both
W2	PF02020	both
WGG	PF10273	both
WKF	PF10180	rbpworld_only
WRNPLPNID	PF15017	rbpworld_only
WT1	PF02165	both
Wyosine_form	PF08608	both
XRN1_D1	PF18332	rbpworld_only
XRN_N	PF03159	both
XS	PF03468	both
XendoU	PF09412	both
Xpo1	PF08389	both
YTH	PF04146	both
YlmH_RBD	PF17774	rbpworld_only
a_DG1_N2	PF18424	rbpworld_only
cwf18	PF08315	both
cwf21	PF08312	both
dsRBD2	PF17842	rbpworld_only
dsrm	PF00035	both
eIF-1a	PF01176	both
eIF-3_zeta	PF05091	both
eIF-3c_N	PF05470	both
eIF-5_eIF-2B	PF01873	both
eIF-5a	PF01287	both
eIF2A	PF08662	both
eIF2_C	PF09173	both
eIF3_N	PF09440	both
eIF3_p135	PF12807	both
eIF3_subunit	PF08597	both
eIF3g	PF12353	both
eIF_4EBP	PF05456	both
eIF_4G1	PF12152	both
eRF1_1	PF03463	both
eRF1_2	PF03464	both
eRF1_3	PF03465	both
efThoc1	PF11957	both
hmm_23S_rRNA_IVP	PF05635	eurbpdb_only
hmm_2OG-FeII_Oxy	PF03171	eurbpdb_only
