pfam_id	pfam_name	go_terms	source
PF00410	Ribosomal_S8	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00411	Ribosomal_S11	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00416	Ribosomal_S13	GO:0003723:RNA binding	GO+EuRBPDB
PF00444	Ribosomal_L36	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00445	Ribonuclease_T2	GO:0003723:RNA binding	GO+EuRBPDB
PF00448	SRP54	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00453	Ribosomal_L20	GO:0019843:rRNA binding	GO+EuRBPDB
PF00468	Ribosomal_L34	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00471	Ribosomal_L33	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00472	RF-1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00542	Ribosomal_L12	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00545	Ribonuclease	GO:0003723:RNA binding	GO+EuRBPDB
PF00562	RNA_pol_Rpb2_6	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00570	HRDC	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00572	Ribosomal_L13	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00573	Ribosomal_L4	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00575	S1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00579	tRNA-synt_1b	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00580	UvrD-helicase	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00587	tRNA-synt_2b	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00588	SpoU_methylase	GO:0003723:RNA binding	GO+EuRBPDB
PF00598	Flu_M1	GO:0003723:RNA binding	GO+EuRBPDB
PF00600	Flu_NS1	GO:0003723:RNA binding	GO+EuRBPDB
PF00602	Flu_PB1	GO:0003723:RNA binding	GO+EuRBPDB
PF00603	Flu_PA	GO:0003723:RNA binding	GO+EuRBPDB
PF00623	RNA_pol_Rpb1_2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00636	Ribonuclease_3	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00642	zf-CCCH	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00644	PARP	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00647	EF1G	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00658	MLLE	GO:0003723:RNA binding	GO+EuRBPDB
PF00680	RdRP_1	GO:0003723:RNA binding	GO+EuRBPDB
PF00736	EF1_GNE	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00749	tRNA-synt_1c	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00773	RNB	GO:0003723:RNA binding	GO+EuRBPDB
PF00806	PUF	GO:0003723:RNA binding	GO+EuRBPDB
PF00825	Ribonuclease_P	GO:0000049:tRNA binding	GO+EuRBPDB
PF00827	Ribosomal_L15e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00829	Ribosomal_L21p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00830	Ribosomal_L28	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00831	Ribosomal_L29	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00832	Ribosomal_L39	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00833	Ribosomal_S17e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00849	PseudoU_synth_2	GO:0003723:RNA binding	GO+EuRBPDB
PF00861	Ribosomal_L18p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00886	Ribosomal_S16	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00889	EF_TS	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00910	RNA_helicase	GO:0003723:RNA binding	GO+EuRBPDB
PF00935	Ribosomal_L44	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00937	CoV_nucleocap	GO:0003723:RNA binding	GO+EuRBPDB
PF00949	Peptidase_S7	GO:0003723:RNA binding	GO+EuRBPDB
PF00978	RdRP_2	GO:0003723:RNA binding	GO+EuRBPDB
PF00981	Rota_NS53	GO:0003723:RNA binding	GO+EuRBPDB
PF00998	RdRP_3	GO:0003723:RNA binding	GO+EuRBPDB
PF01000	RNA_pol_A_bac	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01005	Flavi_NS2A	GO:0003725:double-stranded RNA binding	GO+EuRBPDB
PF01015	Ribosomal_S3Ae	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01016	Ribosomal_L27	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01020	Ribosomal_L40e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01021	TYA	GO:0003723:RNA binding	GO+EuRBPDB
PF01029	NusB	GO:0003723:RNA binding	GO+EuRBPDB
PF01084	Ribosomal_S18	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01090	Ribosomal_S19e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01092	Ribosomal_S6e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01139	RtcB	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01142	TruD	GO:0003723:RNA binding	GO+EuRBPDB
PF01157	Ribosomal_L21e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01158	Ribosomal_L36e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01159	Ribosomal_L6e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01163	RIO1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01165	Ribosomal_S21	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01176	eIF-1a	GO:0003723:RNA binding	GO+EuRBPDB
PF01191	RNA_pol_Rpb5_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01192	RNA_pol_Rpb6	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01193	RNA_pol_L	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01194	RNA_pol_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01195	Pept_tRNA_hydro	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01196	Ribosomal_L17	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01197	Ribosomal_L31	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01198	Ribosomal_L31e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01199	Ribosomal_L34e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01200	Ribosomal_S28e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01223	Endonuclease_NS	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01245	Ribosomal_L19	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01247	Ribosomal_L35Ae	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01249	Ribosomal_S21e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01250	Ribosomal_S6	GO:0019843:rRNA binding	GO+EuRBPDB
PF01251	Ribosomal_S7e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01253	SUI1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01269	Fibrillarin	GO:0003723:RNA binding	GO+EuRBPDB
PF01282	Ribosomal_S24e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01283	Ribosomal_S26e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01287	eIF-5a	GO:0003723:RNA binding	GO+EuRBPDB
PF01294	Ribosomal_L13e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01300	Sua5_yciO_yrdC	GO:0003725:double-stranded RNA binding	GO+EuRBPDB
PF01331	mRNA_cap_enzyme	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01336	tRNA_anti-codon	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01351	RNase_HII	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01386	Ribosomal_L25p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01409	tRNA-synt_2d	GO:0000049:tRNA binding	GO+EuRBPDB
PF01411	tRNA-synt_2c	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01416	PseudoU_synth_1	GO:0003723:RNA binding	GO+EuRBPDB
PF01424	R3H	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01429	MBD	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01472	PUA	GO:0003723:RNA binding	GO+EuRBPDB
PF01479	S4	GO:0003723:RNA binding	GO+EuRBPDB
PF01509	TruB_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01517	HDV_ag	GO:0003723:RNA binding	GO+EuRBPDB
PF01518	PolyG_pol	GO:0003727:single-stranded RNA binding	GO+EuRBPDB
PF01585	G-patch	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01588	tRNA_bind	GO:0000049:tRNA binding	GO+EuRBPDB
PF01599	Ribosomal_S27	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01612	DNA_pol_A_exo1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01632	Ribosomal_L35p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01649	Ribosomal_S20p	GO:0003723:RNA binding	GO+EuRBPDB
PF01652	IF4E	GO:0003723:RNA binding	GO+EuRBPDB
PF01655	Ribosomal_L32e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01660	Vmethyltransf	GO:0003723:RNA binding	GO+EuRBPDB
PF01665	Rota_NSP3	GO:0003723:RNA binding	GO+EuRBPDB
PF01667	Ribosomal_S27e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01668	SmpB	GO:0003723:RNA binding	GO+EuRBPDB
PF01702	TGT	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01728	FtsJ	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01743	PolyA_pol	GO:0003723:RNA binding	GO+EuRBPDB
PF01775	Ribosomal_L18A	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01776	Ribosomal_L22e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01777	Ribosomal_L27e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01779	Ribosomal_L29e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01780	Ribosomal_L37ae	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01781	Ribosomal_L38e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01782	RimM	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01783	Ribosomal_L32p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01787	Ilar_coat	GO:0003723:RNA binding	GO+EuRBPDB
PF01805	Surp	GO:0003723:RNA binding	GO+EuRBPDB
PF01806	Paramyxo_P	GO:0003723:RNA binding	GO+EuRBPDB
PF01818	Translat_reg	GO:0003723:RNA binding	GO+EuRBPDB
PF01868	RNase_P-MRP_p29	GO:0003723:RNA binding	GO+EuRBPDB
PF01873	eIF-5_eIF-2B	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01876	RNase_P_p30	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01885	PTS_2-RNA	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01900	RNase_P_Rpp14	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01907	Ribosomal_L37e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01918	Alba	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01921	tRNA-synt_1f	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01922	SRP19	GO:0008312:7S RNA binding	GO+EuRBPDB
PF01926	MMR_HSR1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01929	Ribosomal_L14e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01974	tRNA_int_endo	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01981	PTH2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01985	CRS1_YhbY	GO:0003723:RNA binding	GO+EuRBPDB
PF01994	Trm56	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF01997	Translin	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02005	TRM	GO:0003723:RNA binding	GO+EuRBPDB
PF02020	W2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02091	tRNA-synt_2e	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02092	tRNA_synt_2f	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02123	RdRP_4	GO:0003723:RNA binding	GO+EuRBPDB
PF02137	A_deamin	GO:0003723:RNA binding	GO+EuRBPDB
PF02165	WT1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02170	PAZ	GO:0003723:RNA binding	GO+EuRBPDB
PF02171	Piwi	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02184	HAT	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02229	PC4	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02265	S1-P1_nuclease	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02272	DHHA1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02290	SRP14	GO:0008312:7S RNA binding	GO+EuRBPDB
PF02295	z-alpha	GO:0003723:RNA binding	GO+EuRBPDB
PF02438	Adeno_100	GO:0003723:RNA binding	GO+EuRBPDB
PF02482	Ribosomal_S30AE	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02527	GidB	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02536	mTERF	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02547	Queuosine_synth	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02590	SPOUT_MTase	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02599	CsrA	GO:0003723:RNA binding	GO+EuRBPDB
PF02637	GatB_Yqey	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02778	tRNA_int_endo_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02792	Mago_nashi	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02840	Prp18	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02854	MIF4G	GO:0003723:RNA binding	GO+EuRBPDB
PF02881	SRP54_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02912	Phe_tRNA-synt_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02926	THUMP	GO:0003723:RNA binding	GO+EuRBPDB
PF02940	mRNA_triPase	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF02978	SRP_SPB	GO:0008312:7S RNA binding	GO+EuRBPDB
PF03012	PP_M1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03014	SP2	GO:0003723:RNA binding	GO+EuRBPDB
PF03026	CM1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03118	RNA_pol_A_CTD	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03123	CAT_RBD	GO:0003723:RNA binding	GO+EuRBPDB
PF03144	GTP_EFTU_D2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03159	XRN_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03178	CPSF_A	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03194	LUC7	GO:0003729:mRNA binding	GO+EuRBPDB
PF03246	Pneumo_ncap	GO:0003723:RNA binding	GO+EuRBPDB
PF03294	Pox_Rap94	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03296	Pox_polyA_pol	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03341	Pox_mRNA-cap	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03343	SART-1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03368	Dicer_dimer	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03372	Exo_endo_phos	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03431	RNA_replicase_B	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03468	XS	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03483	B3_4	GO:0003723:RNA binding	GO+EuRBPDB
PF03484	B5	GO:0003723:RNA binding	GO+EuRBPDB
PF03485	Arg_tRNA_synt_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03587	EMG1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03588	Leu_Phe_trans	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03660	PHF5	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03719	Ribosomal_S5_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03726	PNPase	GO:0003723:RNA binding	GO+EuRBPDB
PF03764	EFG_IV	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03810	IBN_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03854	zf-P11	GO:0003723:RNA binding	GO+EuRBPDB
PF03861	ANTAR	GO:0003723:RNA binding	GO+EuRBPDB
PF03868	Ribosomal_L6e_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03870	RNA_pol_Rpb8	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03871	RNA_pol_Rpb5_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03874	RNA_pol_Rpb4	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03876	SHS2_Rpb7-N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03943	TAP_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03947	Ribosomal_L2_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03950	tRNA-synt_1c_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF03998	Utp11	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04006	Mpp10	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04031	Las1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04032	Rpr2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04037	DUF382	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04065	Not3	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04135	Nop10p	GO:0030515:snoRNA binding	GO+EuRBPDB
PF04146	YTH	GO:0003723:RNA binding	GO+EuRBPDB
PF04147	Nop14	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04189	Gcd10p	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04192	Utp21	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04381	RdgC	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04410	Gar1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04414	tRNA_deacylase	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04427	Brix	GO:0019843:rRNA binding	GO+EuRBPDB
PF04446	Thg1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04493	Endonuclease_5	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04514	BTV_NS2	GO:0003723:RNA binding	GO+EuRBPDB
PF04522	BBMV_Gp1_N	GO:0003723:RNA binding	GO+EuRBPDB
PF04557	tRNA_synt_1c_R2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04558	tRNA_synt_1c_R1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04560	RNA_pol_Rpb2_7	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04561	RNA_pol_Rpb2_2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04563	RNA_pol_Rpb2_1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04565	RNA_pol_Rpb2_3	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04566	RNA_pol_Rpb2_4	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04567	RNA_pol_Rpb2_5	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04705	TSNR_N	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04722	Ssu72	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04758	Ribosomal_S30	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04845	PurA	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04851	ResIII	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04889	Cwf_Cwc_15	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04900	Fcf1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04926	PAP_RNA-bind	GO:0003723:RNA binding	GO+EuRBPDB
PF04938	SIP1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04939	RRS1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04983	RNA_pol_Rpb1_3	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF04988	AKAP95	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
