pfam_id	pfam_name	go_terms	source
PF04845	PurA	GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding; GO:0032422:purine-rich negative regulatory element binding	GO
PF04848	Pox_A22	GO:0000400:four-way junction DNA binding	GO
PF04851	ResIII	GO:0003677:DNA binding	GO
PF04931	DNA_pol_phi	GO:0003677:DNA binding	GO
PF04941	LEF-8	GO:0003677:DNA binding	GO
PF04963	Sigma54_CBD	GO:0003677:DNA binding	GO
PF04983	RNA_pol_Rpb1_3	GO:0003677:DNA binding	GO
PF04986	Y2_Tnp	GO:0003677:DNA binding	GO
PF04988	AKAP95	GO:0003677:DNA binding	GO
PF04990	RNA_pol_Rpb1_7	GO:0003677:DNA binding	GO
PF04992	RNA_pol_Rpb1_6	GO:0003677:DNA binding	GO
PF04997	RNA_pol_Rpb1_1	GO:0003677:DNA binding	GO
PF04998	RNA_pol_Rpb1_5	GO:0003677:DNA binding	GO
PF05000	RNA_pol_Rpb1_4	GO:0003677:DNA binding	GO
PF05001	RNA_pol_Rpb1_R	GO:0003677:DNA binding	GO
PF05044	HPD	GO:0003677:DNA binding	GO
PF05132	RNA_pol_Rpc4	GO:0003677:DNA binding	GO
PF05188	MutS_II	GO:0030983:mismatched DNA binding	GO
PF05190	MutS_IV	GO:0030983:mismatched DNA binding	GO
PF05192	MutS_III	GO:0030983:mismatched DNA binding	GO
PF05204	Hom_end	GO:0003677:DNA binding	GO
PF05224	NDT80_PhoG	GO:0003677:DNA binding	GO
PF05225	HTH_psq	GO:0003677:DNA binding	GO
PF05261	Tra_M	GO:0003677:DNA binding	GO
PF05269	Phage_CII	GO:0003677:DNA binding	GO
PF05273	Pox_RNA_Pol_22	GO:0003677:DNA binding	GO
PF05280	FlhC	GO:0003677:DNA binding	GO
PF05320	Pox_RNA_Pol_19	GO:0003677:DNA binding	GO
PF05349	GATA-N	GO:0003677:DNA binding	GO
PF05443	ROS_MUCR	GO:0003677:DNA binding	GO
PF05460	ORC6	GO:0003677:DNA binding	GO
PF05472	Ter	GO:0003677:DNA binding	GO
PF05491	WHD_RuvB	GO:0003677:DNA binding	GO
PF05509	TraY	GO:0003677:DNA binding	GO
PF05645	RNA_pol_Rpc82	GO:0003677:DNA binding	GO
PF05722	Ustilago_mating	GO:0003677:DNA binding	GO
PF05793	TFIIF_alpha	GO:0003677:DNA binding	GO
PF05829	Adeno_PX	GO:0003677:DNA binding	GO
PF05847	Baculo_LEF-3	GO:0003677:DNA binding	GO
PF05864	Chordopox_RPO7	GO:0003677:DNA binding	GO
PF05869	Dam	GO:0003677:DNA binding	GO
PF05920	Homeobox_KN	GO:0003677:DNA binding	GO
PF05944	Phage_term_smal	GO:0003677:DNA binding	GO
PF06018	CodY	GO:0003677:DNA binding	GO
PF06061	Baculo_ME53	GO:0003677:DNA binding	GO
PF06144	DNA_pol3_delta	GO:0003677:DNA binding	GO
PF06420	Mgm101p	GO:0003697:single-stranded DNA binding	GO
PF06431	Polyoma_lg_T_C	GO:0003677:DNA binding	GO
PF06440	DNA_pol3_theta	GO:0003677:DNA binding	GO
PF06461	CHDII_SANT-like	GO:0003677:DNA binding	GO
PF06506	PrpR_N	GO:0003677:DNA binding	GO
PF06507	ARF_AD	GO:0003677:DNA binding	GO
PF06530	Phage_antitermQ	GO:0003677:DNA binding	GO
PF06546	Vert_HS_TF	GO:0003677:DNA binding	GO
PF06613	KorB_C	GO:0003677:DNA binding	GO
PF06616	BsuBI_PstI_RE	GO:0003677:DNA binding	GO
PF06621	SIM_C	GO:0003677:DNA binding	GO
PF06733	DEAD_2	GO:0003677:DNA binding	GO
PF06831	H2TH	GO:0003684:damaged DNA binding	GO
PF06870	RNA_pol_I_A49	GO:0003677:DNA binding	GO
PF06892	Phage_CP76	GO:0003677:DNA binding	GO
PF06953	ArsD	GO:0003677:DNA binding	GO
PF07022	Phage_CI_repr	GO:0003677:DNA binding	GO
PF07057	TraI_C	GO:0003677:DNA binding	GO
PF07229	VirE2	GO:0003677:DNA binding	GO
PF07352	Phage_Mu_Gam	GO:0003690:double-stranded DNA binding	GO
PF07382	HC2	GO:0003677:DNA binding	GO
PF07404	TEBP_beta	GO:0042162:telomeric DNA binding	GO
PF07432	Hc1	GO:0003677:DNA binding	GO
PF07460	NUMOD3	GO:0003677:DNA binding	GO
PF07508	Recombinase	GO:0003677:DNA binding	GO
PF07527	Hairy_orange	GO:0003677:DNA binding	GO
PF07573	AreA_N	GO:0003677:DNA binding	GO
PF07702	UTRA	GO:0003677:DNA binding	GO
PF07825	Exc	GO:0003677:DNA binding	GO
PF07934	OGG_N	GO:0003684:damaged DNA binding	GO
PF08072	BDHCT	GO:0003677:DNA binding	GO
PF08188	Protamine_3	GO:0003677:DNA binding	GO
